CH No.,CH6,CH8,,,,
Unit,cm/s2,V,,,,
3,16.56467805,-1.768292927,,,,
3.02,16.68297073,-1.829268537,,,,
3.04,18.88662927,-0.609756341,,,,
3.06,16.73297073,-1.402439268,,,,
3.08,20.15736098,-0.060975854,,,,
3.1,17.79638537,0.670731463,,,,
3.12,20.08175122,1.036585122,,,,
3.14,17.3195561,1.58536561,,,,
3.16,20.03175122,2.682926585,,,,
3.18,22.40248293,1.097560732,,,,
3.2,23.00370244,2.134146098,,,,
3.22,24.59882439,1.097560732,,,,
3.24,23.8598,0.304877805,,,,
3.26,22.80614146,-0.792683171,,,,
3.28,22.6500439,-1.585366098,,,,
3.3,23.93662927,-1.951219756,,,,
3.32,22.41101951,-2.439024634,,,,
3.34,22.09272683,-7.560975854,,,,
3.36,22.46101951,2.012194878,,,,
3.38,21.9402878,-3.658536829,,,,
3.4,19.8598,-3.902439268,,,,
3.42,21.62565366,-6.219512439,,,,
3.44,23.96223902,-1.09756122,,,,
3.46,22.71467805,-5.792683171,,,,
3.48,21.68419024,-6.03658561,,,,
3.5,22.66833659,-5.365853902,,,,
3.52,23.00248293,-3.658536829,,,,
3.54,24.07077561,-2.987805122,,,,
3.56,23.52687317,-3.841463659,,,,
3.58,22.80736098,-0.85365878,,,,
3.6,23.39272683,-2.134146585,,,,
3.62,20.78297073,-2.378049024,,,,
3.64,23.12565366,-0.426829512,,,,
3.66,21.64150732,-3.048780732,,,,
3.68,20.56467805,-0.97561,,,,
3.7,22.27565366,1.219511951,,,,
3.72,21.54272683,1.158536341,,,,
3.74,23.84516585,3.048780244,,,,
3.76,20.64150732,2.926829024,,,,
3.78,19.4793122,1.097560732,,,,
3.8,21.39760488,2.256097317,,,,
3.82,19.95736098,14.08536561,,,,
3.84,21.13297073,-17.92682951,,,,
3.86,19.70858049,5.182926585,,,,
3.88,17.61345854,17.56097537,,,,
3.9,22.64760488,-15.79268317,,,,
3.92,20.75370244,11.46341439,,,,
3.94,19.92809268,-0.609756341,,,,
3.96,18.46589756,-20.73170756,,,,
3.98,18.42687317,8.96341439,,,,
4,19.73419024,0.914633902,,,,
4.02,17.98175122,0.365853415,,,,
4.04,16.64150732,-7.682927073,,,,
4.06,16.8902878,-4.024390488,,,,
4.08,17.64516585,-5.243902683,,,,
4.1,14.35370244,-4.024390488,,,,
4.12,11.33053171,-3.35365878,,,,
4.14,14.45126341,-3.59756122,,,,
4.16,14.75126341,-16.52439049,,,,
4.18,12.63540976,6.768292439,,,,
4.2,13.90248293,-0.121951463,,,,
4.22,14.11589756,-0.792683171,,,,
4.24,11.87199512,-2.926829512,,,,
4.26,14.4195561,-3.658536829,,,,
4.28,12.26711707,-2.560975854,,,,
4.3,15.19516585,-2.621951463,,,,
4.32,10.34638537,14.99999976,,,,
4.34,14.05370244,-3.780488049,,,,
4.36,12.64516585,-1.646341707,,,,
4.38,14.0695561,-3.41463439,,,,
