ID No.,PCD-400A,,,,
Title,,,,,
Test Date,4/9/2026,15:46:59,,,
MEAS CHs,5,,,,
Digital Input,OFF,,,,
Sampling Rate(Hz),50,,,,
Data Nos/CH,9028,,,,
MEAS Time(sec),180.56,,,,
CH Name,,,,,
CH No.,CH2,CH3,CH5,CH6,CH8
Range,2000,1000,5000,5000,5
Calibration Coefficient,2.022,2.45,2.132,2,100000
Offset,-105.9434,-1020.512,-55.6634,868.4366,-12.62195
Unit,cm/s2,cm/s2,cm/s2,cm/s2,V
1.72,-9.040776098,-0.71204878,-3.5724,3.717087805,4.87805
1.74,-0.69188878,-2.566280488,-6.8237,4.219526829,3.475610976
1.76,8.695616098,6.29554878,-8.8192,1.573185366,2.31707439
1.78,2.831322927,2.941439024,-6.5182,5.392697561,2.31707439
1.8,-10.01330878,0.062987805,-5.4444,5.729282927,1.585367073
1.82,-7.294458537,7.519054878,0.1508,3.174404878,2.804879268
1.84,-2.292227805,12.60071341,5.1428,4.346356098,2.012196341
1.86,-6.270636098,3.78429878,-0.9997,5.557331707,0.487806098
1.88,-4.960774634,-5.296536585,-8.4981,3.724404878,1.402440244
1.9,6.586324878,-0.932847561,-5.707,4.92562439,1.280489024
1.92,10.62884537,1.751993902,-1.8538,4.256112195,0.792684146
1.94,-2.627583902,-3.237341463,-0.2795,4.870746341,2.682928049
1.96,-9.724803902,-2.487103659,5.6277,6.245136585,2.682928049
1.98,-2.654215122,5.38875,12.2213,6.119526829,1.158537805
2,1.363646829,3.484621951,12.8336,6.080502439,2.134147561
2.02,-1.397616098,-8.309439024,1.3468,4.581721951,3.353659756
2.04,2.89444878,-8.523365854,-1.8161,4.239039024,4.390245122
2.06,11.93870683,-1.005152439,0.8749,6.546356098,6.097562195
2.08,5.000287805,-0.434780488,2.9614,5.059770732,5.548781707
2.1,-9.954128293,-4.060182927,2.1736,3.702453659,5.304879268
2.12,-8.888879512,2.976396341,10.3116,5.818307317,3.536586585
2.14,0.107540976,9.819963415,9.8566,6.952453659,3.292684146
2.16,-1.189004878,1.72629878,-0.0936,6.930502439,3.292684146
2.18,-3.206566341,-5.518829268,-8.0405,3.645136585,4.390245122
2.2,4.388262927,1.071371951,-8.2667,5.451234146,4.146342683
2.22,6.507910732,8.320085366,-3.3644,2.692697561,4.634147561
2.24,-6.718928293,3.20854878,-1.0907,6.920746341,5.060976829
2.26,-14.11500976,3.427554878,0.039,7.293917073,3.597562195
2.28,-5.343475122,11.57021951,4.1236,4.69757561,4.390245122
2.3,0.013345366,9.744073171,1.9123,3.568307317,4.024391463
2.32,-2.644844878,-2.007262195,-7.8338,5.663429268,3.414635366
2.34,0.559778537,-4.826256098,-9.7058,8.552453659,3.109757317
2.36,7.358137073,2.525536585,-2.8795,9.284160976,1.890245122
2.38,1.459321951,3.816268293,2.3491,5.446356098,1.890245122
2.4,-11.07017366,-2.30425,7.6908,6.870746341,3.292684146
2.42,-8.308910732,0.941402439,9.0831,9.602453659,2.073171951
2.44,3.018727805,4.39022561,11.8066,11.33538049,3.475610976
2.46,4.373467805,-3.551957317,2.5623,10.49269756,3.292684146
2.48,0.52131122,-11.70507927,-2.4921,7.624404878,2.134147561
2.5,4.814362439,-5.64879878,0.845,6.815868293,1.829269512
2.52,7.323615122,2.104256098,5.8201,8.345136585,1.951220732
2.54,-5.302541951,-0.827676829,7.1409,7.939039024,2.31707439
2.56,-12.70750049,-2.043713415,8.0054,8.54757561,3.414635366
2.58,-2.390861951,4.648371951,8.1003,9.341478049,4.085367073
2.6,4.479992683,5.493621951,3.2838,6.492697561,2.743903659
2.62,2.056551707,-5.431585366,-8.0964,7.07562439,3.170732927
2.64,-0.936008293,-4.070042683,-7.4685,4.809770732,3.658537805
2.66,3.640616098,6.652591463,-0.4394,9.990258537,2.865854878
2.68,-2.055505854,9.201487805,3.055,8.506112195,4.451220732
2.7,-12.04763805,3.629530488,2.7573,7.67562439,4.451220732
2.72,-11.56975561,5.944780488,-1.5093,8.174404878,2.50000122
2.74,1.992439512,10.00132317,-1.5678,7.976843902,2.43902561
2.76,4.857761463,1.773804878,-5.8708,7.378063415,2.682928049
2.78,-1.050917073,-6.207817073,-11.6194,7.8366,3.963415854
2.8,-0.217458537,0.58077439,-4.1054,7.393917073,5.609757317
2.82,1.638836098,8.778115854,3.6504,4.842697561,3.536586585
2.84,-6.855043415,3.997926829,8.5865,9.12562439,1.524391463
2.86,-11.23242683,-2.871036585,5.8409,9.562209756,2.621952439
2.88,0.321083902,1.839835366,9.1962,8.46464878,2.134147561
2.9,9.482716585,0.95395122,4.7255,7.848795122,2.073171951
2.92,5.548200488,-8.045317073,-1.1999,6.15855122,3.475610976
2.94,0.813761463,-10.52907927,1.0868,8.932941463,1.829269512
2.96,2.841186341,0.705067073,8.4825,7.542697561,1.646342683
2.98,0.026167805,4.400085366,11.4114,5.456112195,0.609757317
3,-9.631594634,-1.681890244,10.2661,8.409770732,0.243903659
3.02,-7.055763902,-3.004890244,5.4951,8.129282927,0.975610976
3.04,5.187199512,2.402140244,1.9825,6.630502439,2.621952439
3.06,7.879911707,-0.749993902,-3.0758,6.453673171,2.25609878
3.08,-0.413247317,-6.471341463,-11.7442,9.760990244,3.048781707
3.1,-2.449549268,0.09675,-0.4329,5.426843902,2.621952439
3.12,-1.849360488,11.47819512,5.9839,6.426843902,2.012196341
3.14,-7.482356585,7.652908537,1.8083,8.181721951,2.804879268
3.16,-11.60378439,1.64652439,-0.8684,7.64757561,2.012196341
3.18,-3.752999512,4.05379878,-3.7856,8.281721951,2.195123171
3.2,8.305518049,7.148268293,-4.5175,10.03538049,1.402440244
3.22,3.005905366,-0.365762195,-8.8517,8.582941463,-0.06097439
3.24,-5.242375122,-2.291103659,-8.7399,7.998795122,-0.12195
3.26,-4.36453122,7.415378049,0.4979,6.9866,0.487806098
3.28,-2.575307805,9.816676829,9.7279,9.430502439,0.670732927
3.3,-9.218810732,0.086591463,6.2751,8.163429268,1.280489024
3.32,-5.143247805,-3.967262195,-0.1768,8.280502439,1.707318293
3.34,7.395618049,0.801871951,-0.8112,6.981721951,0.670732927
3.36,9.426495122,-1.810664634,1.5535,7.42562439,-0.426828049
3.38,0.95332878,-8.886981707,0.8346,8.600014634,0.670732927
3.4,-2.963926341,-3.819067073,6.0619,10.82440488,1.768293902
3.42,-0.622351707,5.929542683,14.2909,8.734160976,3.109757317
3.44,-2.22860878,2.778603659,12.3526,8.709770732,2.682928049
3.46,-3.919198049,-7.189908537,3.5932,8.659770732,1.341464634
3.48,0.982425854,-3.636512195,1.5496,8.245136585,2.134147561
3.5,10.00794341,2.420067073,1.4313,7.359770732,2.012196341
3.52,3.262847317,-1.874006098,-4.5734,6.667087805,1.524391463
3.54,-6.062518049,-3.744073171,-2.2841,6.94757561,2.43902561
3.56,-4.625911707,6.11747561,5.9566,8.926843902,1.646342683
3.58,-3.03050439,12.29655488,8.7035,7.867087805,1.036586585
3.6,-6.90584,3.124292683,-0.4628,7.928063415,1.524391463
3.62,-6.086683415,-1.302737805,-9.2131,9.5366,1.951220732
3.64,5.937805366,4.95402439,-7.4022,7.034160976,1.707318293
3.66,6.031507805,4.447890244,-7.1409,7.407331707,1.951220732
3.68,-3.650913171,-1.174859756,-7.5309,6.592697561,1.646342683
3.7,-8.558948293,2.065713415,-0.0533,8.742697561,-0.06097439
3.72,-4.70827122,11.02165854,6.9654,4.826843902,0.975610976
3.74,-2.254746829,7.248359756,4.2393,6.528063415,1.280489024
3.76,-4.45231561,-4.75425,-6.8341,8.576843902,1.951220732
3.78,2.069374146,-4.683140244,-4.4629,6.867087805,1.890245122
3.8,11.3848761,1.933353659,1.235,6.856112195,0.975610976
